Filename,Size,LastModified,SummaryTag
src/contexts/GlobalErrorContext.tsx,9358,2026-02-03T08:52:11.873Z,REACT_MISC
src/services/TrashRackRobot.ts,9326,2026-01-25T14:02:58.774Z,MISC
src/services/TrashRackMonitor.ts,9288,2026-01-22T14:50:24.610Z,ENGINEERING_LOGIC
src/services/SovereignVaultArchitecture.ts,9263,2026-01-24T20:59:29.422Z,MISC
src/services/LiveDnaOptimizer.ts,9193,2026-01-24T20:42:43.075Z,ENGINEERING_LOGIC
src/services/VisionAnalysisService.ts,9166,2026-01-23T18:02:37.268Z,ENGINEERING_LOGIC
src/services/VPPSynchronizer.ts,9163,2026-02-07T15:42:49.118Z,MISC
src/components/dashboard/HydroForecaster.tsx,9137,2026-01-24T19:28:56.878Z,UI_COMPONENT
src/components/dashboard/PlanetPulseDashboard.tsx,9085,2026-01-25T11:38:11.558Z,UI_COMPONENT
src/components/dashboard/CirculatoryDashboard.tsx,9084,2026-01-25T11:48:38.180Z,UI_COMPONENT
src/services/NegotiatorModule.ts,9068,2026-01-24T20:55:41.637Z,MISC
src/demos/BigBrotherDemo.ts,8977,2026-01-25T14:25:24.905Z,ENGINEERING_LOGIC
src/services/RoboticTelemetryIntegration.ts,8973,2026-01-24T20:48:28.509Z,MISC
src/components/dashboard/ExecutiveSummary.tsx,8954,2026-02-08T15:22:25.765Z,UI_PLUS_ENGINEERING
src/services/EcoGovernanceUnit.ts,8894,2026-01-24T20:39:19.533Z,MISC
src/components/cerebro/panels/HydraulicsPanel.tsx,8762,2026-02-08T15:22:25.761Z,UI_PLUS_ENGINEERING
src/services/LegacyHandover.ts,8711,2026-01-24T21:00:22.494Z,MISC
src/services/EmergencyManualService.ts,8705,2026-01-24T19:58:04.146Z,MISC
src/lib/engines/FrancisBigBrotherEngine.ts,8690,2026-01-22T15:23:30.420Z,ENGINEERING_LOGIC
src/components/dashboard/WeaverDashboard.tsx,8476,2026-01-25T11:34:54.546Z,UI_COMPONENT
src/services/HydroBasinSAR.ts,8475,2026-01-25T11:20:23.238Z,MISC
src/components/dashboard/IntakeMonitoring.tsx,8420,2026-01-24T19:51:57.605Z,UI_COMPONENT
src/services/PurchaseOrderService.ts,8381,2026-01-24T20:08:22.477Z,MISC
src/services/ThresholdResolver.ts,8356,2026-01-22T14:50:24.609Z,ENGINEERING_LOGIC
src/components/dashboard/SafeStateHMI.tsx,8327,2026-02-08T15:22:25.767Z,UI_COMPONENT
src/components/cerebro/ComponentTree.tsx,8308,2026-01-22T14:50:24.448Z,UI_COMPONENT
src/stores/useComponentStore.ts,8300,2026-01-22T14:50:24.622Z,MISC
src/services/HydraulicHeadCorrection.ts,8283,2026-01-24T20:34:48.899Z,ENGINEERING_LOGIC
src/components/dashboard/__tests__/AssetPassportCard.test.tsx,8232,2026-02-08T15:22:25.769Z,UI_COMPONENT
src/services/MorningReportGenerator.ts,8195,2026-01-22T14:50:24.598Z,MISC
src/components/SiteHealthCertificate.tsx,8150,2026-01-22T14:50:24.439Z,UI_COMPONENT
src/pages/analytics/management-summary.tsx,8111,2026-01-22T14:50:24.570Z,REACT_MISC
